Learn Rate  	1.0e-03
Epochs  	00101
Log Path 	mnist_linear_ssim
Data Set 	 mnist
Batch Size  	 128
Embedded Dimension 	 10
Begin to train the network
##################################################
[0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0, 0.5, 0.256, 0.512, 1.0]
[GAN Epoch 00001]	 Dp Loss: 0.69937 Dn Loss: 0.69660 	 G Loss: 0.69035 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00001]	 Dp Loss: 0.01525 Dn Loss: 0.75205 	 G Loss: 0.65755 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00001]	 Dp Loss: 0.05977 Dn Loss: 0.63623 	 G Loss: 0.82227 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00001]	 Dp Loss: 0.02447 Dn Loss: 0.99524 	 G Loss: 0.65346 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00001]	 Dp Loss: 0.45478 Dn Loss: 0.57373 	 G Loss: 0.74516 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00001]	 Dp Loss: 0.12953 Dn Loss: 0.30143 	 G Loss: 1.97718 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00001]	 Dp Loss: 0.00535 Dn Loss: 0.78225 	 G Loss: 1.41354 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00001]	 Dp Loss: 0.11118 Dn Loss: 0.47335 	 G Loss: 1.80851 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00001]	 Dp Loss: 0.05337 Dn Loss: 0.70279 	 G Loss: 1.53598 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00001]	 Dp Loss: 0.60167 Dn Loss: 0.28805 	 G Loss: 1.01419 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00001]	 D Loss: 76.609 	 G Loss: 116.495 	 LwF Loss: 0.000	  per_epoch_time: 3658.619
[GAN Epoch 00002]	 Dp Loss: 3.33547 Dn Loss: 0.67912 	 G Loss: 0.50857 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00002]	 Dp Loss: 0.16354 Dn Loss: 0.41875 	 G Loss: 1.86903 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00002]	 Dp Loss: 0.13426 Dn Loss: 0.81180 	 G Loss: 1.44195 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00002]	 Dp Loss: 0.93377 Dn Loss: 0.35786 	 G Loss: 0.56006 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00002]	 Dp Loss: 0.34417 Dn Loss: 0.56078 	 G Loss: 1.62507 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00002]	 Dp Loss: 0.31764 Dn Loss: 0.13030 	 G Loss: 2.41030 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00002]	 Dp Loss: 0.70027 Dn Loss: 0.21867 	 G Loss: 1.15950 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00002]	 Dp Loss: 0.55813 Dn Loss: 0.26255 	 G Loss: 0.72860 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00002]	 Dp Loss: 0.20042 Dn Loss: 0.93688 	 G Loss: 1.88595 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00002]	 Dp Loss: 0.53267 Dn Loss: 0.54618 	 G Loss: 1.07051 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00002]	 D Loss: 98.304 	 G Loss: 141.423 	 LwF Loss: 0.000	  per_epoch_time: 290.151
[GAN Epoch 00003]	 Dp Loss: 6.20585 Dn Loss: 0.50817 	 G Loss: 0.83337 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00003]	 Dp Loss: 0.26933 Dn Loss: 0.31114 	 G Loss: 2.32043 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00003]	 Dp Loss: 0.73305 Dn Loss: 0.28413 	 G Loss: 1.01811 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00003]	 Dp Loss: 0.75282 Dn Loss: 0.30373 	 G Loss: 0.96027 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00003]	 Dp Loss: 0.51596 Dn Loss: 0.29707 	 G Loss: 1.78122 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00003]	 Dp Loss: 0.08950 Dn Loss: 0.14723 	 G Loss: 3.13131 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00003]	 Dp Loss: 0.10675 Dn Loss: 0.32544 	 G Loss: 2.67705 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00003]	 Dp Loss: 0.00098 Dn Loss: 3.17890 	 G Loss: 0.09888 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00003]	 Dp Loss: 0.23919 Dn Loss: 0.31442 	 G Loss: 1.74732 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00003]	 Dp Loss: 0.31237 Dn Loss: 0.69218 	 G Loss: 1.14785 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00003]	 D Loss: 89.581 	 G Loss: 188.992 	 LwF Loss: 0.000	  per_epoch_time: 276.205
[GAN Epoch 00004]	 Dp Loss: 5.53900 Dn Loss: 0.49435 	 G Loss: 1.46308 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00004]	 Dp Loss: 0.26956 Dn Loss: 0.42148 	 G Loss: 2.60878 	 aug Loss: 0.000	 LwF Loss: 0.00000
[GAN Epoch 00004]	 Dp Loss: 0.25057 Dn Loss: 0.62403 	 G Loss: 1.94191 	 aug Loss: 0.000	 LwF Loss: 0.00000
